instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI,power,seconds
17909353394,7781117728,1,121885006,688879,246,15840894,4014,3082684053,5071669043,112967924,19419602,13230659,1,W,CPU,bt,DLA,6112.40730170649,2.30164277421918,0.738756933817194,1.08432736641994,44.894770687297,6.30776117455176,0.005651876490862,0.038464761113642,0.000224128694749,302,2.93
18162837666,7874439337,1,124047519,568158,242,15710548,48812,3083955264,5067735044,111919945,19493985,13469316,1,W,CPU,bt,DLA,6177.83594081633,2.30655630054287,0.741586543231289,1.07328961247569,45.2799994138668,6.1620296926129,0.004580164154674,0.031281345484003,0.002687465521501,302,2.94
18197074984,7874432621,1,123670358,571230,241,15685243,21635,3086908023,5067024669,112176143,19234043,13648466,1,W,CPU,bt,DLA,6210.60579658703,2.31090617696962,0.750036256486308,1.05698542303704,45.1702521898975,6.16451507171522,0.004618972640154,0.031391308795631,0.00118892734239,302,2.93
17919936558,7767577467,1,121885986,595910,244,15858076,71186,3076505630,5064088380,112638204,19351072,13611246,1,W,CPU,bt,DLA,6095.21651632653,2.30701742391776,0.759558827451514,1.07986275159892,44.9588878388011,6.28563631547651,0.004889077239774,0.033254023978895,0.00397244709933,302,2.94
18193613350,7879791929,0,124055537,613915,244,16009210,29044,3076665225,5054021927,112366117,19215920,13407865,1,W,CPU,bt,DLA,6188.30386054422,2.30889514773125,0.736954487383343,1.0561904131045,44.9781665677742,6.176129768087,0.004948710995463,0.033743434478341,0.001596384370783,302,2.94
18198029360,7889178007,1,123612923,644712,243,16025128,14393,3080590117,5060544210,115783328,19505485,13256981,1,W,CPU,bt,DLA,6189.80590476191,2.30670791606591,0.728484427502869,1.07184600124197,43.7070198051312,6.36241022088339,0.005215571190724,0.035427572252252,0.000790909813105,302,2.94
18186851690,7878024086,1,123994595,539931,242,15796267,24289,3076176987,5064008253,114244079,19478139,13386648,1,W,CPU,bt,DLA,6186.00397619048,2.30855497412349,0.736061866461506,1.07100114588332,44.326220643785,6.28168530470927,0.004354472063883,0.029687986090351,0.001335525269245,302,2.94
18205355521,7884926349,1,123509020,485368,241,15842489,82034,3082244020,5058574694,114484524,19487308,13192388,1,W,CPU,bt,DLA,6213.43191843003,2.30888085889463,0.724643250431583,1.07041622875869,44.1856638544438,6.28850800897249,0.003929818243234,0.026660726259376,0.004506036693729,302,2.93
18193818214,7880185982,1,123905482,597134,241,15975109,85016,3079463064,5064560460,111988833,19710233,13210690,1,W,CPU,bt,DLA,6188.37354217687,2.30880568752546,0.726108716961593,1.08334780353214,45.2237988764469,6.15532329073319,0.004819270224057,0.032820708274446,0.004672795946405,302,2.94
18191752784,7871665128,1,123648020,549524,242,15683738,84551,3081308117,5064033882,111687140,19470609,13511538,1,W,CPU,bt,DLA,6230.05232328767,2.31104251618769,0.742728760687846,1.07029868046166,45.3412441396566,6.13943809187155,0.004444260409508,0.03020731462904,0.004647765446459,302,2.92
18211158795,7908261794,1,123836745,543625,242,16132175,66350,3069788676,5050532350,111662424,19435477,13494509,1,W,CPU,bt,DLA,6194.27169897959,2.30280171159948,0.741002214735781,1.06722901155176,45.2303663943387,6.13153864929549,0.004389852139605,0.029851203106815,0.003643370570038,302,2.94
18186565478,7882933719,1,123981064,641910,243,15602419,70554,3079253485,5062687056,113301870,19459053,13383442,1,W,CPU,bt,DLA,6185.90662517007,2.307080856733,0.735897166300572,1.06996854483268,44.6831729785219,6.22997619517877,0.005177484200329,0.035295834212156,0.003879457068755,302,2.94
18182717018,7872629450,1,124079166,528613,243,15809351,62211,3085752603,5069634478,112863929,19168242,13874169,1,W,CPU,bt,DLA,6205.7054668942,2.30961169117391,0.763041573284414,1.05420119452029,44.9181108873146,6.20720923546631,0.004260288145393,0.029072277783166,0.003421435857931,302,2.93
18208526923,7882276029,1,123912186,613387,244,16188420,85984,3080563960,5058094112,114054511,19614112,13362997,1,W,CPU,bt,DLA,6193.37650442177,2.31005953813445,0.733886769451987,1.07719378305252,44.3480408416288,6.2637967081199,0.004950174956965,0.033686799739149,0.004722183203705,302,2.94
18152912362,7888943757,1,124346036,569546,241,15946423,64238,3077786877,5062154316,112796729,19480285,13614341,1,W,CPU,bt,DLA,6195.53322935153,2.30105739388655,0.749981090004008,1.07312174551003,44.8785559730194,6.21369875811887,0.004580330972513,0.031374910462976,0.003538715921665,302,2.93
18168722628,7883761578,1,124148630,594723,242,16059628,18397,3078298862,5062989417,111695965,19394596,13584369,1,W,CPU,bt,DLA,6200.92922457338,2.30457535381342,0.747678814748649,1.06747163227154,45.3283108033491,6.14770599380852,0.004790411299746,0.032733341367844,0.001012564304969,302,2.93
18202959851,7884561324,1,123697644,577622,244,15886299,99126,3081421295,5062189512,113025726,19184826,13761160,1,W,CPU,bt,DLA,6233.89035993151,2.30868390808143,0.755984747131331,1.0539399173012,44.7879406852914,6.20919492902089,0.004669628145868,0.031732311927737,0.005445597903385,302,2.92
18133633764,7876903304,1,123490962,566695,246,16439103,76975,3095869574,5026645935,113977870,19186841,13347715,1,W,CPU,bt,DLA,6126.22762297297,2.30212725282428,0.736075029071046,1.05808031913002,44.1019465884035,6.28544016512983,0.004588959311856,0.031251044736827,0.004244874524422,302,2.96
18199042722,7889386199,1,123369468,635015,240,16230261,59842,3072102707,5058762252,111410671,19768158,13289474,1,W,CPU,bt,DLA,6190.15058571429,2.30677549088759,0.730229287496257,1.08621966011999,45.4064427275552,6.12178743145213,0.005147262205913,0.03489276934508,0.003288194929487,302,2.94
18198562463,7881578656,1,123846971,675518,242,16235845,67920,3069445309,5051463997,111658241,19504962,13115553,1,W,CPU,bt,DLA,6189.98723231293,2.30899966330299,0.720691704450041,1.0717858643866,45.2404045752431,6.13555280682282,0.005454457178448,0.037119305515115,0.003732162918807,302,2.94
18171704471,7873562184,1,123993656,610664,242,16061423,56714,3075255095,5061709901,113432510,19534889,13465440,1,W,CPU,bt,DLA,6180.85186088435,2.30793941120158,0.741011390620474,1.07501687754033,44.6230970380537,6.24226033287222,0.004924961644812,0.033605213037365,0.003121006072408,302,2.94
18172425129,7865196978,1,123976202,700811,241,15844257,68509,3083046717,5066634373,111727046,19389594,13878835,1,W,CPU,bt,DLA,6202.19287679181,2.31048569792094,0.763730481841514,1.06697889039904,45.3483248183255,6.14816378149239,0.00565278649204,0.038564528125728,0.003769942619858,302,2.93
18185271046,7878253902,1,123937864,614458,243,15817018,65972,3085272761,5065451088,112651151,19133212,13741741,1,W,CPU,bt,DLA,6206.57714880546,2.30828699762817,0.755652250947484,1.05212685318806,44.9658174198327,6.19463689680768,0.004957790784582,0.033788773257529,0.003627771058959,302,2.93
18235930406,7881703647,1,123728057,581001,244,16206111,90514,3070174133,5047613037,113872601,19439928,13422685,1,W,CPU,bt,DLA,6202.6974170068,2.31370414604983,0.736057042397116,1.06602337074087,44.326844145766,6.24440861885136,0.004695790219998,0.031860233454765,0.004963497775261,302,2.94
17906440753,7759857797,1,121828255,581306,243,15677005,61596,3086765688,5069750194,111955365,19137830,13843162,1,W,CPU,bt,DLA,6111.41322627986,2.30757331144943,0.773082836000267,1.06876795137491,45.2836734889838,6.25223999254253,0.00477152036693,0.03246351455426,0.003439879585768,302,2.93
18186245397,7881808651,0,123880528,628527,242,16035982,66823,3075101820,5062430067,112250802,20014346,13023081,1,W,CPU,bt,DLA,6185.79775408163,2.30736956481335,0.716095088112486,1.10052105660587,45.0992774822224,6.17229117663379,0.005073654513323,0.034560569610684,0.003674370302461,302,2.94
18192623640,7884106278,1,123570112,657184,243,15976145,61752,3076224222,5058762033,112543686,19604139,13133952,1,W,CPU,bt,DLA,6209.0865665529,2.30750613937881,0.72193831191684,1.07758723469091,44.9493189071487,6.18622625449971,0.005318308686165,0.036123651706566,0.00339434274143,302,2.93
18174978298,7895080833,1,124219436,591416,240,15634656,59920,3077730414,5059130989,111557440,19552195,13204884,1,W,CPU,bt,DLA,6203.06426552901,2.3020636118166,0.726541940435389,1.07577542484062,45.3500097259313,6.13796826443947,0.004761058486854,0.032540121385734,0.003296840250235,302,2.93
