instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
18114983759,7852358432,1,122481864,611218,253,16150028,97151,3093489118,5083746633,112512774,19540114,13566813,1,2.92,W,CPU,bt,DLA,6203.76156130137,2.30694815014782,0.748927693256123,1.07867135074256,45.1837284982414,6.21103366676223,0.004990273498777,0.033741018381887,0.005363018884946
18066329846,7846794011,1,122163915,625870,249,16327083,59517,3100914566,5092438713,114753129,19597190,13222833,1,2.92,W,CPU,bt,DLA,6187.09926232877,2.30238360031801,0.731904770515834,1.0847355366059,44.3773407956484,6.35176762398186,0.005123198613928,0.03464289677732,0.003294360310441
18137102479,7848620857,1,122147451,586826,248,16302163,45739,3092418159,5082222695,113413983,19695424,13382093,1,2.92,W,CPU,bt,DLA,6211.33646541096,2.31086490345931,0.737829706563903,1.08591898969553,44.81125307979,6.25314782950122,0.004804242701716,0.032355002717742,0.002521847139198
18093117401,7850912845,1,122165168,630696,252,16227435,83182,3094697214,5086805158,114119417,19535235,13758533,1,2.94,W,CPU,bt,DLA,6154.12156496599,2.30458772861336,0.760429101025983,1.07970531374103,44.5744054055236,6.30733855701907,0.005162649962549,0.034858337898429,0.004597438802636
18134806854,7848141775,1,122222192,549260,249,16314162,49050,3092639933,5083505109,113483290,19440427,13430569,1,2.92,W,CPU,bt,DLA,6210.55029246575,2.31071346235969,0.740596197584405,1.07199526063395,44.7951862252143,6.25776116137509,0.004493946565776,0.030287612348011,0.002704743446947
18095769444,7849205112,0,121920419,561027,250,16410352,14631,3099932750,5087284309,114801594,19751747,13757224,1,2.94,W,CPU,bt,DLA,6155.02362040816,2.30542700640284,0.760245318253735,1.09151186199209,44.313707952522,6.34411232720832,0.004601583595279,0.031003213305529,0.00080853152143
18102699253,7851062980,1,122109082,591986,249,16345502,56278,3096032200,5088798719,113794863,19562207,13278939,1,2.92,W,CPU,bt,DLA,6199.55453869863,2.30576411106563,0.733533646801286,1.08062376370519,44.719054839936,6.28607156367257,0.004848009585397,0.032701532060303,0.003108818149905
18100831052,7846078852,1,122436397,574133,251,16311630,37956,3097897254,5092683327,113973990,19552797,13805172,1,2.92,W,CPU,bt,DLA,6198.91474383562,2.30699071388838,0.762681666954437,1.0802154300998,44.6828555094018,6.29661641902385,0.00468923468893,0.031718598905798,0.002096920295591
18093856185,7851727615,1,122223183,620442,251,16117839,16941,3099681902,5091149450,113724496,19815042,13839311,1,2.93,W,CPU,bt,DLA,6175.37753754266,2.30444267455653,0.764862440515745,1.09512542806806,44.7673951441385,6.28525477583263,0.005076303732001,0.034290202909557,0.000936284660759
18095813880,7847298526,0,122045818,616288,251,16419964,19093,3101527204,5088435257,115405396,19564171,13102576,1,2.93,W,CPU,bt,DLA,6176.04569283277,2.30599279739954,0.72406668674247,1.08114346940885,44.0918313472968,6.37746369217188,0.005049644552343,0.034056937371639,0.001055105900548
