branch_misses,cache_misses,cache_references,cycles,instructions,context_switches,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_stores,branches,app,dwarfs,class,workload,Thread,Run,Mode,power,seconds,energy,MIPS,instructions_per_cycle,L1_load_ratio,L1_store_ratio,L1_load_rate_PTI,cache_misses_PTI
49223840,6216966575,109880245732,242726147488,213742801294,54708,6217229964,109929032305,109952309141,2457192260,bt,DLA,CPU,A,1,21,0,4.56469,158.29,722.5447801,1350.32409687283,20.8800616442905,17.6813521361649,17.6853845740771,29.0869610595607,29.0862033124038
49119460,6519775442,109887753078,242779230249,213597134960,54078,6522033207,109826328774,109896756376,2457098196,bt,DLA,CPU,A,1,22,0,4.56728,157.74,720.4427472,1354.10888145049,21.8800616442905,16.8392777663452,16.8487138652933,30.5367417555552,30.5237026855297
49320193,6493726720,109869259348,242658445001,213691545962,54341,6495637825,109856529988,109913423497,2459796937,bt,DLA,CPU,A,1,23,0,4.56684,158.11,722.0630724,1351.53719538296,22.8800616442905,16.912354559731,16.9272019218309,30.3863278482466,30.3883183153851
49060011,6321982829,109892702404,242175647695,213685226576,54002,6322130839,109872541567,109826373419,2450869482,bt,DLA,CPU,A,1,24,0,4.56596,157.41,718.7277636,1357.50731577409,23.8800616442905,17.3790363352206,17.3749308791138,29.5807417400092,29.5854932523915
49165629,6474918856,109854271529,243387860676,213614493918,54278,6476246165,109861257498,109917358248,2455526878,bt,DLA,CPU,A,1,25,0,4.566,157.96,721.24536,1352.33283057736,24.8800616442905,16.9637247718795,16.9733603194362,30.3157093520344,30.3112337428074
49164148,6634412332,109837580380,242742709005,213650845872,54215,6633428889,109873983358,109882649846,2457190976,bt,DLA,CPU,A,1,26,0,4.5685,157.85,721.137725,1353.50551708584,25.8800616442905,16.5636784831146,16.5611996061918,31.0550845372035,31.0525909921964
49166157,6254843953,109810595432,242344792740,213632527260,54203,6252904137,109879176500,109874638880,2457186442,bt,DLA,CPU,A,1,27,0,4.56412,157.62,719.3965944,1355.36433993148,26.8800616442905,17.5725029670321,17.5641218256456,29.2821959007517,29.2785187406765
49214984,6584687399,109838311356,243701745992,213654534232,54528,6583454579,109917755115,109855189024,2457640110,bt,DLA,CPU,A,1,28,0,4.56708,158.54,724.0648632,1347.63803602876,27.8800616442905,16.696060373169,16.67911044753,30.8273062711979,30.8193197147406
49300697,6490316208,109867898424,242748911022,213796948053,54333,6490321441,109922760163,109855855670,2459261192,bt,DLA,CPU,A,1,29,0,4.56647,158.19,722.3698893,1351.51999527783,28.8800616442905,16.9364123429399,16.9203353065248,30.3677590355055,30.3573847386776
49229743,6524543132,109862191437,242888098935,213616521826,54197,6524966786,109844776344,109910506164,2459916321,bt,DLA,CPU,A,1,30,0,4.5664,157.68,720.029952,1354.74709427955,29.8800616442905,16.834534174133,16.8480038478941,30.5390775921059,30.5432514125219
