instructions,cycles,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,MIPS,Instructions_per_cycle,dwarfs,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17596705880,6123987047,1,104998408,769754,136.40514761859,8,105780233,20633,0,3089450635,4941024808,111217400,2253593,3994375,1,1.43,W,CPU,bt,12305.3887272727,2.87340677649216,DLA,0.226995610839862,0.128069026974042,44.4267246671834,6.32035340923707,0.007331101629655,0.043744210152133,0.001172549006655
17599406777,6110544723,1,105638332,714421,147.865659044177,6,104337522,13981,0,3086267198,4932745685,111124810,2153590,4182911,1,1.42,W,CPU,bt,12393.948434507,2.88016986615876,DLA,0.237673408712076,0.122367192672337,44.3892384157957,6.31412248197052,0.006762895498956,0.040593470510248,0.000794401775989
17732146586,6109367082,1,104089403,765042,136.057109282889,7,104452992,147419,0,3090267622,4951124290,108662319,2359214,4054851,1,1.44,W,CPU,bt,12313.9906847222,2.902452307743,DLA,0.228672314450717,0.133047287228195,45.5643164582195,6.12798447570876,0.007349854816633,0.043144353465024,0.008313657869059
17624350539,6121472817,1,105563672,697256,151.398728730911,6,102175267,18915,0,3082923693,4933462635,105191779,2107671,4054851,1,1.43,W,CPU,bt,12324.7206566434,2.87910296523008,DLA,0.230070945935127,0.119588576914426,46.8996976940565,5.96854782065453,0.006605075276275,0.03956208193074,0.001073231036692
17620703794,6108140534,1,105240606,677153,155.416288490193,6,104404592,13284,0,3084132104,4928489590,108992420,2194241,3969647,1,1.42,W,CPU,bt,12408.9463338028,2.8847901740173,DLA,0.225283112775081,0.12452629734047,45.2186453883674,6.18547484108511,0.006434332010593,0.038429395778764,0.000753885892147
17622084213,6173091656,1,105530450,717667,147.046541083817,5,104982352,82998,0,3088536741,4931117070,107164389,2168069,3967264,1,1.44,W,CPU,bt,12237.55848125,2.85466103453559,DLA,0.225130237266334,0.123031360751335,46.0145120595985,6.08125507202739,0.006800567987723,0.040725432436112,0.004709885561594
17647846058,6118608150,1,105908356,717640,147.578668970514,8,104247683,13179,0,3079318120,4923030582,109662327,2177522,4251778,1,1.43,W,CPU,bt,12341.1510895105,2.88429094090623,DLA,0.240923339087753,0.123387409026775,44.8926328364343,6.21392132725957,0.006776047019368,0.040664452627333,0.000746776686327
17626638642,6103692743,1,105167774,700289,150.177675216946,7,102177517,14473,0,3087646279,4937096857,107405973,2108512,3944337,1,1.42,W,CPU,bt,12413.1258042254,2.88786467212247,DLA,0.223771365608052,0.119620765071789,45.9666880630559,6.09338939666453,0.006658779332916,0.03972901551016,0.000821086781998
17596517996,6145241368,1,105439636,710282,148.447568712145,8,102259401,13868,0,3088892728,4939924967,103115223,1966930,5354672,1,1.43,W,CPU,bt,12305.2573398601,2.86343805592894,DLA,0.304302930910377,0.111779500947126,47.9068446275871,5.85997883350785,0.006736385167339,0.040364917659361,0.000788110466125
17631711519,6143063467,1,105741703,710686,148.788217299905,6,102599584,23186,0,3085143411,4935342967,104768781,1990126,5116024,1,1.43,W,CPU,bt,12329.8681951049,2.87018221669302,DLA,0.290160373511497,0.112871969227459,47.1070000041329,5.94206528884622,0.006720962305667,0.04030726110929,0.001315016978075
17626054061,6114455499,1,105744501,764358,138.344206510562,6,104747356,34283,0,3081507906,4921827030,110136318,2218332,4159188,1,1.42,W,CPU,bt,12412.7141274648,2.88268580315658,DLA,0.235968185823437,0.125855281750687,44.6885016620948,6.248495415868,0.007228347505276,0.043365236334504,0.00194501843018
17734934032,6058615007,1,104363915,686676,151.984218175675,7,102779996,144464,0,3094171946,4953610765,110257289,2150920,3934881,1,1.44,W,CPU,bt,12315.9264111111,2.92722577874802,DLA,0.221871758468349,0.121281533729925,44.9277395619622,6.21695512377195,0.006579630516927,0.038718835872803,0.008145730891321
17598513640,6102162575,1,104755593,679673,154.126459341477,6,103682099,14380,0,3083355312,4933253829,108252247,2217517,4107714,1,1.41,W,CPU,bt,12481.2153475177,2.88397980612636,DLA,0.233412553129686,0.126005925577701,45.5718376820391,6.15121533638792,0.006488178631188,0.038621045725996,0.000817114461719
17622690521,6107867047,0,104810087,689619,151.982597637246,6,102331590,22346,0,3080256708,4933365066,109394062,2258946,4096968,1,1.43,W,CPU,bt,12323.5598048951,2.88524461737518,DLA,0.23248254828727,0.128183945425821,45.0971924417616,6.20756869500949,0.006579700673276,0.039132446840522,0.001268024310668
17614584808,6100798693,1,104853959,721523,145.323099887322,6,102215857,24052,0,3085891303,4930907296,109208489,2081094,4070991,1,1.41,W,CPU,bt,12492.6133390071,2.88725881550736,DLA,0.231114786091982,0.118146071717503,45.1513187404324,6.19989004511766,0.006881218476453,0.040961680781276,0.001365459377111
17592683177,6100978997,1,104790831,684040,153.194010584176,7,102345413,13659,0,3083046036,4937818125,109778316,2183515,4095085,1,1.41,W,CPU,bt,12477.0802673759,2.88358363234011,DLA,0.232772054086312,0.124114950404759,44.9799040914419,6.23999846387957,0.00652767034551,0.038882073480087,0.000776402318087
17634382175,6112935909,1,105350638,668320,157.63502214508,6,103064125,12113,0,3082542392,4926924197,109351939,2129735,3995369,1,1.42,W,CPU,bt,12418.5789964789,2.88476477383594,DLA,0.226566996243519,0.120771738916904,45.0556637774846,6.20106437043349,0.00634376794187,0.037898690941805,0.0006868967611
17890096169,6124182587,1,104044960,694933,149.719411799411,6,101756986,206031,0,3065512757,4921839657,110907459,2156181,4069952,1,1.45,W,CPU,bt,12337.997357931,2.92122187979436,DLA,0.227497491436207,0.120523723273005,44.3778957824649,6.19937746294403,0.006679160624407,0.038844564804754,0.011516483648479
17620039506,6117706954,1,105285305,755635,139.333547281426,5,103232210,14612,0,3080843098,4926640435,108621150,2163725,4022483,1,1.41,W,CPU,bt,12496.4819191489,2.88017056692775,DLA,0.228290237296588,0.122799100380178,45.3561800349195,6.1646371430105,0.007177022472414,0.042884977626906,0.000829283044174
17661347145,11256903345,1,105966764,699552,151.47803737249,10,127273999,15146,0,3085479146,4932127915,279411101,2422825,5168534,2,1.33,W,CPU,bt,13279.2083796992,1.56893477750652,DLA,0.292646645670131,0.137182344025547,17.6518681517954,15.8204863256483,0.006601617088166,0.03960920954991,0.000857578976035
17717577288,11273660241,1,103884215,710883,146.134054408391,12,123210297,238492,0,3095838862,4950695228,279774007,1649011,4713483,2,1.33,W,CPU,bt,13321.4866827068,1.57159049583247,DLA,0.266034284675728,0.093072036497725,17.6953366078787,15.7907597891213,0.00684303192742,0.040123036487696,0.013460756858757
17640739461,11311943451,2,106305929,712728,149.15357471574,9,127017313,14523,0,3088908939,4930409724,280746506,1876711,4942821,2,1.33,W,CPU,bt,13263.7138804511,1.55947910608062,DLA,0.280193526520107,0.106385052857281,17.5617848081073,15.9146676714245,0.006704499050095,0.040402387982414,0.000823264808831
17618639990,11275796773,2,106190929,749259,141.727932530674,8,127447792,10749,0,3081829042,4927533813,281008255,1789491,5032117,2,1.34,W,CPU,bt,13148.2387985075,1.5625184051018,DLA,0.285613248403744,0.101568055253736,17.5351923842949,15.9494861782462,0.007055772155454,0.042526494691149,0.000610092493297
17734851693,11306851613,2,104170640,696061,149.657343250089,7,119925098,230988,0,3082231309,4933607152,281785496,1408224,4577679,2,1.34,W,CPU,bt,13234.96395,1.56850485882466,DLA,0.258117692735306,0.0794043290791,17.5083786143486,15.8887991215185,0.006681930724434,0.039248199649436,0.013024523914749
17626279244,11298734182,2,106083546,694385,152.77338364164,7,131606884,34737,0,3078935078,4932957516,280645935,2630281,5332791,2,1.34,W,CPU,bt,13153.9397343284,1.56002247332099,DLA,0.302547742843419,0.149224970488048,17.5771564836669,15.9220179775339,0.006545642808735,0.039394871168648,0.00197075057754
17598411038,11254579747,2,106156632,695950,152.534854515411,7,126437804,11671,0,3086668661,4934710541,280510891,1940782,5056486,2,1.33,W,CPU,bt,13231.8879984962,1.56366665247461,DLA,0.287326281280827,0.110281660986853,17.5918679071894,15.9395578608942,0.006555878675578,0.039546183942246,0.000663184873612
17559268813,11151442982,2,104956683,690163,152.075209769286,7,125126874,114969,0,3095716325,4957721239,280703152,2149157,5105896,2,1.34,W,CPU,bt,13103.93195,1.57461853513874,DLA,0.290780672838715,0.12239444722259,17.6617939758653,15.9860387690051,0.006575693707851,0.039304768743505,0.006547482200106
17741515590,11294582405,1,104476633,687572,151.950098316976,8,123869392,214584,0,3091553783,4948393605,282213378,1616265,4795452,2,1.33,W,CPU,bt,13339.485406015,1.5707987204685,DLA,0.270295509742299,0.091100728785032,17.534227611988,15.9069486802508,0.006581107949756,0.038754975385956,0.012095020795233
17738829384,11228532514,2,104356579,696681,149.79105071044,10,124194158,219638,0,3089688754,4953135475,282489904,2155327,4946640,2,1.35,W,CPU,bt,13139.8736177778,1.5797994405665,DLA,0.278859438405882,0.12150333899395,17.5338495460001,15.9249462230467,0.006675966256042,0.039274350348529,0.012381764052486
17584334694,11273674059,2,106045034,697199,152.101529118659,8,126566388,15992,0,3085060428,4932166058,279104326,2364731,5039622,2,1.33,W,CPU,bt,13221.304281203,1.55976965468166,DLA,0.28659725191193,0.134479412565258,17.6714067054625,15.8723278905305,0.006574555862748,0.039648869981865,0.000909445837917
17674820906,11245489062,1,105061763,681277,154.21298972371,8,122901654,215853,0,3089801231,4953070651,282671080,1532982,4585009,2,1.33,W,CPU,bt,13289.3390270677,1.57172540994465,DLA,0.259409078280592,0.086732533707292,17.5223820243656,15.9928681316393,0.006484538052155,0.038545058171918,0.01221245754896
